Date,Customer_Name,Email,Product_Category,Price,Quantity,Total_Amount,Status
2024-04-06,Sara Ahmed,user1@mail.com,Home Decor,4541.0,8,36328.0,Refunded
2024-07-23,Mona Zaki,admin@tech.io,Books,442.0,8,3536.0,Refunded
2024-12-14,Yomna Soror,admin@tech.io,Groceries,4274.0,5,21370.0,Shipped
2024-12-03,Huda Mansour,m.zaki@mail.com,Home Decor,2922.0,1,2922.0,Pending
2024-05-24,Zainab Tarek,test.a@web.net,Office Supplies,581.0,10,5810.0,Pending
2024-05-16,Omar Farouk,m.zaki@mail.com,Home Decor,2695.0,10,26950.0,Shipped
2024-06-05,Omar Farouk,yomna.dev@email.com,Books,2781.0,1,2781.0,Completed
2024-05-28,Sara Ahmed,yomna.dev@email.com,Home Decor,1990.0,9,17910.0,Completed
2024-11-22,Ali Hassan,sales@hub.com,Books,1260.0,1,1260.0,Shipped
2024-11-02,Layla Mohamed,info@market.eg,Electronics,221.0,6,1326.0,Refunded
2024-03-11,Layla Mohamed,m.zaki@mail.com,Groceries,3526.0,1,3526.0,Pending
2024-11-25,Huda Mansour,info@market.eg,Home Decor,1325.0,5,6625.0,Shipped
2024-01-27,Yomna Soror,info@market.eg,Office Supplies,4695.0,4,18780.0,Cancelled
2024-03-05,Omar Farouk,m.zaki@mail.com,Electronics,1382.0,6,8292.0,Refunded
2024-07-25,Marwan Khaled,contact@service.org,Electronics,4758.0,6,28548.0,Cancelled
2024-11-22,Ali Hassan,user1@mail.com,Clothing,1447.0,10,14470.0,Refunded
2024-09-21,Mona Zaki,user1@mail.com,Books,909.0,1,909.0,Pending
2024-01-09,Mona Zaki,sales@hub.com,Home Decor,3052.0,1,3052.0,Pending
2024-07-07,Marwan Khaled,info@market.eg,Home Decor,2439.0,2,4878.0,Cancelled
2024-02-01,Zainab Tarek,user1@mail.com,Clothing,1927.0,3,5781.0,Pending
2024-01-11,Omar Farouk,m.zaki@mail.com,Office Supplies,3958.0,9,35622.0,Refunded
2024-08-16,Layla Mohamed,test.a@web.net,Clothing,1915.0,10,19150.0,Completed
2024-12-02,Zainab Tarek,user1@mail.com,Books,408.0,7,2856.0,Refunded
2024-05-07,Yomna Soror,contact@service.org,Groceries,3416.0,8,27328.0,Completed
2024-05-04,Ali Hassan,info@market.eg,Groceries,672.0,4,2688.0,Pending
2024-09-10,Layla Mohamed,info@market.eg,Home Decor,3627.0,5,18135.0,Pending
2024-09-07,Huda Mansour,m.zaki@mail.com,Electronics,2492.0,9,22428.0,Cancelled
2024-01-12,Yomna Soror,admin@tech.io,Home Decor,2836.0,10,28360.0,Refunded
2024-01-28,Mona Zaki,test.a@web.net,Clothing,1799.0,2,3598.0,Completed
2024-10-19,Zainab Tarek,info@market.eg,Electronics,3172.0,9,28548.0,Cancelled
2024-08-13,Omar Farouk,m.zaki@mail.com,Books,4466.0,4,17864.0,Cancelled
2024-12-09,Omar Farouk,sales@hub.com,Electronics,3879.0,1,3879.0,Pending
2024-02-21,Ahmed Ali,user1@mail.com,Home Decor,2622.0,9,23598.0,Cancelled
2024-07-22,Ali Hassan,user1@mail.com,Office Supplies,119.0,8,952.0,Pending
2024-07-20,Sara Ahmed,user1@mail.com,Groceries,4759.0,3,14277.0,Pending
2024-12-24,Layla Mohamed,sales@hub.com,Home Decor,4571.0,7,31997.0,Cancelled
2024-09-20,Omar Farouk,info@market.eg,Books,651.0,4,2604.0,Refunded
2024-05-07,Sara Ahmed,sales@hub.com,Clothing,2157.0,1,2157.0,Cancelled
2024-04-15,Marwan Khaled,contact@service.org,Books,3602.0,8,28816.0,Completed
2024-04-09,Ali Hassan,admin@tech.io,Clothing,3393.0,5,16965.0,Pending
2024-03-20,Yomna Soror,test.a@web.net,Electronics,3843.0,8,30744.0,Shipped
2024-09-04,Omar Farouk,sales@hub.com,Electronics,406.0,9,3654.0,Completed
2024-09-09,Ali Hassan,user1@mail.com,Electronics,849.0,7,5943.0,Refunded
2024-11-06,Yomna Soror,info@market.eg,Office Supplies,2252.0,1,2252.0,Cancelled
2024-04-22,Layla Mohamed,test.a@web.net,Groceries,3990.0,8,31920.0,Completed
2024-05-28,Yomna Soror,m.zaki@mail.com,Office Supplies,3386.0,2,6772.0,Shipped
2024-09-24,Layla Mohamed,test.a@web.net,Books,781.0,3,2343.0,Pending
2024-03-10,Sara Ahmed,admin@tech.io,Electronics,261.0,7,1827.0,Refunded
2024-12-11,Ahmed Ali,user1@mail.com,Clothing,812.0,2,1624.0,Completed
2024-07-04,Ali Hassan,contact@service.org,Office Supplies,2611.0,6,15666.0,Cancelled
2024-07-22,Yomna Soror,sales@hub.com,Groceries,4153.0,2,8306.0,Refunded
2024-06-10,Marwan Khaled,user1@mail.com,Electronics,4652.0,6,27912.0,Completed
2024-02-28,Mona Zaki,m.zaki@mail.com,Groceries,3277.0,10,32770.0,Shipped
2024-09-24,Omar Farouk,user1@mail.com,Office Supplies,3366.0,6,20196.0,Pending
2024-10-20,Yomna Soror,admin@tech.io,Electronics,1943.0,4,7772.0,Completed
2024-05-27,Yomna Soror,test.a@web.net,Home Decor,4140.0,1,4140.0,Pending
2024-04-06,Huda Mansour,admin@tech.io,Office Supplies,342.0,10,3420.0,Completed
2024-10-14,Sara Ahmed,admin@tech.io,Groceries,2545.0,5,12725.0,Pending
2024-06-12,Huda Mansour,m.zaki@mail.com,Office Supplies,3497.0,6,20982.0,Completed
2024-09-13,Ahmed Ali,contact@service.org,Clothing,2735.0,4,10940.0,Completed
2024-10-11,Yomna Soror,user1@mail.com,Groceries,1617.0,10,16170.0,Cancelled
2024-11-02,Marwan Khaled,test.a@web.net,Home Decor,706.0,8,5648.0,Completed
2024-01-15,Mona Zaki,yomna.dev@email.com,Electronics,668.0,8,5344.0,Shipped
2024-09-06,Yomna Soror,test.a@web.net,Home Decor,2392.0,7,16744.0,Refunded
2024-08-07,Sara Ahmed,test.a@web.net,Clothing,119.0,8,952.0,Pending
2024-04-23,Mona Zaki,test.a@web.net,Home Decor,3902.0,5,19510.0,Refunded
2024-03-27,Zainab Tarek,test.a@web.net,Office Supplies,2084.0,3,6252.0,Refunded
2024-06-23,Omar Farouk,info@market.eg,Books,3360.0,1,3360.0,Refunded
2024-11-21,Ali Hassan,contact@service.org,Books,2753.0,9,24777.0,Cancelled
2024-06-10,Ahmed Ali,yomna.dev@email.com,Office Supplies,3407.0,1,3407.0,Shipped
2024-05-28,Yomna Soror,yomna.dev@email.com,Groceries,4942.0,5,24710.0,Pending
2024-02-18,Mona Zaki,contact@service.org,Groceries,2311.0,4,9244.0,Completed
2024-05-28,Omar Farouk,contact@service.org,Clothing,2903.0,6,17418.0,Pending
2024-07-12,Sara Ahmed,yomna.dev@email.com,Groceries,756.0,8,6048.0,Refunded
2024-02-21,Mona Zaki,sales@hub.com,Electronics,953.0,9,8577.0,Cancelled
2024-11-16,Marwan Khaled,m.zaki@mail.com,Home Decor,4943.0,10,49430.0,Refunded
2024-08-13,Huda Mansour,info@market.eg,Home Decor,4493.0,2,8986.0,Cancelled
2024-01-14,Ali Hassan,admin@tech.io,Home Decor,1385.0,2,2770.0,Completed
2024-05-01,Layla Mohamed,contact@service.org,Office Supplies,491.0,6,2946.0,Refunded
2024-01-12,Ahmed Ali,contact@service.org,Home Decor,3869.0,6,23214.0,Refunded
2024-09-11,Mona Zaki,contact@service.org,Electronics,1818.0,8,14544.0,Refunded
2024-12-21,Mona Zaki,contact@service.org,Home Decor,3586.0,6,21516.0,Completed
2024-01-11,Huda Mansour,yomna.dev@email.com,Home Decor,3720.0,3,11160.0,Refunded
2024-02-17,Sara Ahmed,m.zaki@mail.com,Electronics,1162.0,1,1162.0,Cancelled
2024-05-27,Marwan Khaled,sales@hub.com,Office Supplies,4309.0,5,21545.0,Pending
2024-01-05,Layla Mohamed,test.a@web.net,Books,2832.0,4,11328.0,Completed
2024-08-02,Ali Hassan,m.zaki@mail.com,Electronics,4183.0,7,29281.0,Refunded
2024-03-26,Zainab Tarek,test.a@web.net,Clothing,3954.0,5,19770.0,Refunded
2024-08-12,Huda Mansour,info@market.eg,Clothing,268.0,5,1340.0,Refunded
2024-06-16,Mona Zaki,yomna.dev@email.com,Home Decor,1327.0,9,11943.0,Completed
2024-04-14,Huda Mansour,sales@hub.com,Groceries,4170.0,9,37530.0,Pending
2024-07-19,Ahmed Ali,test.a@web.net,Clothing,2270.0,1,2270.0,Pending
2024-02-19,Marwan Khaled,yomna.dev@email.com,Electronics,2139.0,5,10695.0,Cancelled
2024-09-22,Yomna Soror,user1@mail.com,Electronics,456.0,6,2736.0,Refunded
2024-10-18,Sara Ahmed,contact@service.org,Electronics,72.0,4,288.0,Shipped
2024-03-15,Mona Zaki,yomna.dev@email.com,Office Supplies,4522.0,9,40698.0,Shipped
2024-02-25,Layla Mohamed,yomna.dev@email.com,Groceries,3711.0,1,3711.0,Refunded
2024-03-17,Ali Hassan,test.a@web.net,Books,3906.0,3,11718.0,Shipped
2024-12-23,Zainab Tarek,contact@service.org,Books,3346.0,4,13384.0,Pending
2024-06-05,Marwan Khaled,contact@service.org,Home Decor,1140.0,2,2280.0,Refunded
2024-12-13,Marwan Khaled,contact@service.org,Books,2174.0,10,21740.0,Completed
2024-03-04,Marwan Khaled,info@market.eg,Books,1269.0,7,8883.0,Refunded
2024-06-03,Mona Zaki,contact@service.org,Office Supplies,1189.0,1,1189.0,Cancelled
2024-06-07,Huda Mansour,sales@hub.com,Books,2432.0,4,9728.0,Completed
2024-10-17,Yomna Soror,admin@tech.io,Electronics,2740.0,1,2740.0,Cancelled
2024-06-13,Sara Ahmed,sales@hub.com,Home Decor,2976.0,9,26784.0,Cancelled
2024-01-12,Sara Ahmed,m.zaki@mail.com,Clothing,4428.0,8,35424.0,Pending
2024-01-01,Huda Mansour,user1@mail.com,Clothing,3701.0,9,33309.0,Pending
2024-10-24,Marwan Khaled,test.a@web.net,Office Supplies,660.0,9,5940.0,Cancelled
2024-08-24,Huda Mansour,m.zaki@mail.com,Electronics,939.0,7,6573.0,Completed
2024-08-09,Mona Zaki,info@market.eg,Clothing,268.0,5,1340.0,Cancelled
2024-11-28,Huda Mansour,admin@tech.io,Groceries,1399.0,6,8394.0,Cancelled
2024-01-12,Zainab Tarek,test.a@web.net,Clothing,2947.0,10,29470.0,Cancelled
2024-09-08,Yomna Soror,m.zaki@mail.com,Office Supplies,3822.0,10,38220.0,Pending
2024-01-28,Omar Farouk,yomna.dev@email.com,Office Supplies,2241.0,8,17928.0,Completed
2024-04-28,Omar Farouk,contact@service.org,Office Supplies,2028.0,6,12168.0,Refunded
2024-11-10,Ahmed Ali,test.a@web.net,Clothing,269.0,4,1076.0,Completed
2024-11-22,Marwan Khaled,yomna.dev@email.com,Electronics,3963.0,10,39630.0,Refunded
2024-04-15,Mona Zaki,m.zaki@mail.com,Books,4313.0,3,12939.0,Cancelled
2024-10-11,Ahmed Ali,contact@service.org,Electronics,4829.0,4,19316.0,Refunded
2024-03-07,Marwan Khaled,info@market.eg,Office Supplies,4518.0,5,22590.0,Completed
2024-12-09,Omar Farouk,sales@hub.com,Groceries,3775.0,10,37750.0,Cancelled
2024-04-13,Omar Farouk,sales@hub.com,Electronics,1043.0,10,10430.0,Shipped
2024-06-16,Omar Farouk,sales@hub.com,Electronics,3671.0,2,7342.0,Pending
2024-04-09,Mona Zaki,admin@tech.io,Office Supplies,705.0,7,4935.0,Cancelled
2024-08-07,Yomna Soror,admin@tech.io,Electronics,3403.0,4,13612.0,Refunded
2024-01-27,Huda Mansour,m.zaki@mail.com,Office Supplies,659.0,1,659.0,Shipped
2024-02-20,Ali Hassan,yomna.dev@email.com,Books,4462.0,4,17848.0,Completed
2024-08-01,Zainab Tarek,contact@service.org,Groceries,2092.0,4,8368.0,Cancelled
2024-05-10,Sara Ahmed,user1@mail.com,Home Decor,3567.0,2,7134.0,Refunded
2024-04-05,Sara Ahmed,user1@mail.com,Books,2974.0,9,26766.0,Completed
2024-05-28,Mona Zaki,contact@service.org,Groceries,1858.0,2,3716.0,Completed
2024-10-10,Mona Zaki,test.a@web.net,Home Decor,4035.0,3,12105.0,Shipped
2024-07-26,Ali Hassan,sales@hub.com,Home Decor,910.0,3,2730.0,Completed
2024-03-22,Sara Ahmed,,Books,4299.0,3,12897.0,Refunded
2024-08-01,Marwan Khaled,info@market.eg,Home Decor,2219.0,10,22190.0,Refunded
2024-08-11,Sara Ahmed,m.zaki@mail.com,Books,665.0,8,5320.0,Cancelled
2024-11-03,Huda Mansour,yomna.dev@email.com,Books,2301.0,2,4602.0,Cancelled
2024-03-09,Ahmed Ali,sales@hub.com,Home Decor,2313.0,10,23130.0,Shipped
2024-07-19,Layla Mohamed,sales@hub.com,Home Decor,1259.0,7,8813.0,Cancelled
2024-11-20,Sara Ahmed,test.a@web.net,Home Decor,3017.0,7,21119.0,Completed
2024-05-12,Layla Mohamed,sales@hub.com,Groceries,392.0,8,3136.0,Refunded
2024-09-18,Layla Mohamed,m.zaki@mail.com,Electronics,1075.0,8,8600.0,Refunded
2024-06-25,Sara Ahmed,sales@hub.com,Electronics,3832.0,9,34488.0,Cancelled
2024-03-01,Marwan Khaled,info@market.eg,Office Supplies,546.0,2,1092.0,Pending
2024-03-18,Huda Mansour,yomna.dev@email.com,Electronics,3238.0,1,3238.0,Pending
2024-10-18,Ahmed Ali,yomna.dev@email.com,Groceries,3285.0,7,22995.0,Cancelled
2024-04-19,Sara Ahmed,m.zaki@mail.com,Clothing,4366.0,5,21830.0,Pending
2024-10-03,Ahmed Ali,user1@mail.com,Clothing,4547.0,8,36376.0,Completed
2024-09-07,Zainab Tarek,admin@tech.io,Clothing,1071.0,1,1071.0,Pending
2024-12-18,Omar Farouk,m.zaki@mail.com,Groceries,1715.0,3,5145.0,Cancelled
2024-01-20,Zainab Tarek,m.zaki@mail.com,Books,1047.0,4,4188.0,Pending
2024-01-06,Ali Hassan,m.zaki@mail.com,Electronics,1588.0,7,11116.0,Shipped
2024-01-02,Ali Hassan,admin@tech.io,Office Supplies,3823.0,4,15292.0,Completed
2024-02-06,Sara Ahmed,info@market.eg,Books,4863.0,10,48630.0,Cancelled
2024-06-15,Sara Ahmed,sales@hub.com,Clothing,4238.0,10,42380.0,Pending
2024-05-14,Huda Mansour,yomna.dev@email.com,Clothing,675.0,6,4050.0,Cancelled
2024-06-20,Layla Mohamed,yomna.dev@email.com,Electronics,2260.0,2,4520.0,Completed
2024-10-20,Marwan Khaled,yomna.dev@email.com,Office Supplies,3724.0,7,26068.0,Pending
2024-04-01,Yomna Soror,contact@service.org,Home Decor,3322.0,2,6644.0,Pending
2024-03-26,Yomna Soror,info@market.eg,Home Decor,1738.0,10,17380.0,Refunded
2024-09-17,Sara Ahmed,m.zaki@mail.com,Clothing,1613.0,3,4839.0,Completed
2024-10-03,Zainab Tarek,m.zaki@mail.com,Office Supplies,1134.0,6,6804.0,Shipped
2024-09-17,Omar Farouk,m.zaki@mail.com,Groceries,1441.0,3,4323.0,Pending
2024-10-03,Zainab Tarek,sales@hub.com,Books,1462.0,4,5848.0,Refunded
2024-09-22,Sara Ahmed,m.zaki@mail.com,Clothing,880.0,1,880.0,Shipped
2024-09-27,Zainab Tarek,m.zaki@mail.com,Groceries,637.0,3,1911.0,Cancelled
2024-12-14,Ahmed Ali,user1@mail.com,Clothing,4832.0,3,14496.0,Pending
2024-08-21,Sara Ahmed,m.zaki@mail.com,Groceries,503.0,1,503.0,Pending
2024-12-15,Marwan Khaled,test.a@web.net,Clothing,3057.0,4,12228.0,Completed
2024-06-23,Layla Mohamed,info@market.eg,Electronics,1228.0,8,9824.0,Pending
2024-09-25,Mona Zaki,test.a@web.net,Groceries,3446.0,8,27568.0,Completed
2024-11-26,Ali Hassan,contact@service.org,Home Decor,3747.0,6,22482.0,Pending
2024-07-23,Ahmed Ali,sales@hub.com,Home Decor,692.0,6,4152.0,Shipped
2024-02-09,Mona Zaki,user1@mail.com,Home Decor,2014.0,4,8056.0,Pending
2024-09-14,Layla Mohamed,user1@mail.com,Electronics,2083.0,10,20830.0,Pending
2024-05-16,Yomna Soror,user1@mail.com,Books,282.0,6,1692.0,Refunded
2024-02-07,Huda Mansour,user1@mail.com,Groceries,825.0,2,1650.0,Pending
2024-02-26,Mona Zaki,sales@hub.com,Groceries,1377.0,9,12393.0,Completed
2024-08-02,Layla Mohamed,m.zaki@mail.com,Home Decor,4065.0,8,32520.0,Cancelled
2024-01-21,Ali Hassan,info@market.eg,Office Supplies,2425.0,8,19400.0,Shipped
2024-04-16,Mona Zaki,test.a@web.net,Office Supplies,1876.0,6,11256.0,Cancelled
2024-04-09,Sara Ahmed,sales@hub.com,Home Decor,882.0,3,2646.0,Refunded
2024-01-05,Zainab Tarek,user1@mail.com,Office Supplies,3817.0,5,19085.0,Completed
2024-09-04,Marwan Khaled,user1@mail.com,Office Supplies,1669.0,5,8345.0,Cancelled
2024-01-26,Layla Mohamed,sales@hub.com,Home Decor,3336.0,4,13344.0,Shipped
2024-10-01,Mona Zaki,yomna.dev@email.com,Books,1879.0,3,5637.0,Shipped
2024-03-14,Zainab Tarek,m.zaki@mail.com,Office Supplies,2584.0,8,20672.0,Cancelled
2024-09-01,Mona Zaki,contact@service.org,Office Supplies,3148.0,6,18888.0,Completed
2024-03-22,Ahmed Ali,m.zaki@mail.com,Clothing,2123.0,2,4246.0,Refunded
2024-02-28,Marwan Khaled,admin@tech.io,Electronics,4463.0,1,4463.0,Completed
2024-01-08,Mona Zaki,yomna.dev@email.com,Office Supplies,1891.0,4,7564.0,Pending
2024-11-25,Layla Mohamed,admin@tech.io,Home Decor,1793.0,4,7172.0,Completed
2024-04-18,Sara Ahmed,yomna.dev@email.com,Electronics,4793.0,6,28758.0,Refunded
2024-11-23,Mona Zaki,user1@mail.com,Clothing,3581.0,4,14324.0,Shipped
2024-09-25,Omar Farouk,test.a@web.net,Books,3309.0,5,16545.0,Refunded
2024-03-20,Yomna Soror,yomna.dev@email.com,Books,3580.0,3,10740.0,Pending
2024-08-26,Huda Mansour,info@market.eg,Books,2050.0,1,2050.0,Shipped
2024-07-24,Sara Ahmed,info@market.eg,Office Supplies,2626.0,8,21008.0,Refunded
2024-08-22,Ali Hassan,yomna.dev@email.com,Groceries,939.0,8,7512.0,Pending
2024-02-04,Mona Zaki,yomna.dev@email.com,Groceries,4333.0,5,21665.0,Completed
2024-11-27,Ali Hassan,yomna.dev@email.com,Clothing,4457.0,3,13371.0,Refunded
2024-04-07,Ali Hassan,contact@service.org,Home Decor,2187.0,6,13122.0,Pending
2024-05-15,Marwan Khaled,m.zaki@mail.com,Electronics,1492.0,7,10444.0,Completed
2024-10-22,Marwan Khaled,info@market.eg,Clothing,806.0,6,4836.0,Pending
2024-05-08,Marwan Khaled,test.a@web.net,Office Supplies,321.0,7,2247.0,Pending
2024-10-02,Layla Mohamed,test.a@web.net,Electronics,3810.0,1,3810.0,Pending
2024-11-15,Ahmed Ali,yomna.dev@email.com,Clothing,2374.0,9,21366.0,Shipped
2024-05-10,Mona Zaki,info@market.eg,Groceries,413.0,6,2478.0,Cancelled
2024-04-27,Huda Mansour,user1@mail.com,Clothing,2320.0,7,16240.0,Pending
2024-09-27,Layla Mohamed,yomna.dev@email.com,Electronics,1641.0,5,8205.0,Pending
2024-11-24,Marwan Khaled,sales@hub.com,Home Decor,2783.0,5,13915.0,Completed
2024-10-28,Omar Farouk,sales@hub.com,Electronics,808.0,5,4040.0,Completed
2024-04-13,Mona Zaki,info@market.eg,Clothing,1913.0,6,11478.0,Cancelled
2024-11-14,Ali Hassan,user1@mail.com,Electronics,1834.0,9,16506.0,Cancelled
2024-10-26,Ahmed Ali,admin@tech.io,Electronics,1144.0,6,6864.0,Cancelled
2024-08-27,Sara Ahmed,contact@service.org,Clothing,693.0,9,6237.0,Shipped
2024-06-20,Huda Mansour,,Office Supplies,4789.0,6,28734.0,Pending
2024-03-22,Ahmed Ali,contact@service.org,Home Decor,4184.0,9,37656.0,Pending
2024-04-23,Layla Mohamed,m.zaki@mail.com,Clothing,2514.0,8,20112.0,Pending
2024-01-01,Ali Hassan,yomna.dev@email.com,Groceries,1163.0,7,8141.0,Cancelled
2024-01-06,Huda Mansour,user1@mail.com,Groceries,2317.0,7,16219.0,Cancelled
2024-08-10,Sara Ahmed,user1@mail.com,Clothing,617.0,1,617.0,Shipped
2024-01-05,Layla Mohamed,m.zaki@mail.com,Home Decor,3278.0,8,26224.0,Completed
2024-04-14,Huda Mansour,admin@tech.io,Home Decor,1825.0,7,12775.0,Completed
2024-11-17,Ali Hassan,contact@service.org,Clothing,788.0,6,4728.0,Completed
2024-12-10,Omar Farouk,contact@service.org,Electronics,3412.0,4,13648.0,Cancelled
2024-08-02,Mona Zaki,sales@hub.com,Electronics,2104.0,7,14728.0,Completed
2024-06-19,Ahmed Ali,contact@service.org,Home Decor,792.0,4,3168.0,Completed
2024-12-01,Omar Farouk,test.a@web.net,Books,4712.0,4,18848.0,Cancelled
2024-02-06,Zainab Tarek,m.zaki@mail.com,Office Supplies,2420.0,7,16940.0,Pending
2024-09-24,Yomna Soror,admin@tech.io,Groceries,1551.0,7,10857.0,Pending
2024-01-01,Mona Zaki,admin@tech.io,Electronics,3700.0,3,11100.0,Refunded
2024-07-16,Mona Zaki,contact@service.org,Home Decor,3293.0,2,6586.0,Completed
2024-01-20,Sara Ahmed,admin@tech.io,Clothing,4320.0,8,34560.0,Completed
2024-05-19,Ali Hassan,sales@hub.com,Clothing,2624.0,9,23616.0,Refunded
2024-04-25,Zainab Tarek,admin@tech.io,Clothing,754.0,5,3770.0,Pending
2024-03-20,Yomna Soror,yomna.dev@email.com,Groceries,4885.0,10,48850.0,Refunded
2024-07-11,Huda Mansour,admin@tech.io,Office Supplies,1285.0,3,3855.0,Cancelled
2024-01-20,Ali Hassan,info@market.eg,Clothing,4712.0,7,32984.0,Refunded
2024-09-24,Ahmed Ali,sales@hub.com,Groceries,1180.0,7,8260.0,Refunded
2024-05-21,Ali Hassan,admin@tech.io,Office Supplies,372.0,5,1860.0,Shipped
